2021-01-06 15:39:43,423 [INFOR] ForkPoolWorker-3(39344):MainThread        (4669627904) | common.prepare_targets:228 - 1/2 Domain lookup start.
2021-01-06 15:39:43,444 [DEBUG] ForkPoolWorker-3(39344):MainThread        (4669627904) | common.prepare_targets:267 - 有效域名url: ['https://ac2f1f241e07ad04807307cc002b0066.web-security-academy.net/'] 和 有效ip: ['18.200.141.238']
2021-01-06 15:39:43,445 [INFOR] ForkPoolWorker-3(39344):MainThread        (4669627904) | iscdn.check_cdn:169 - Start CDN check module
2021-01-06 15:39:46,459 [INFOR] ForkPoolWorker-3(39344):MainThread        (4669627904) | iscdn.check_cdn:215 - CDN check over in 3.0 seconds!
2021-01-06 15:39:46,460 [DEBUG] ForkPoolWorker-3(39344):MainThread        (4669627904) | common.prepare_targets:274 - 没有CDN的目标: ['18.200.141.238']
2021-01-06 15:39:46,461 [INFOR] ForkPoolWorker-3(39344):MainThread        (4669627904) | common.prepare_targets:276 - 1/2 Domain lookup check over in 3.0 seconds!
2021-01-06 15:39:46,462 [INFOR] ForkPoolWorker-3(39344):MainThread        (4669627904) | common.prepare_targets:310 - 1/2 Start of port detection.
2021-01-06 15:39:46,712 [DEBUG] ForkPoolWorker-3(39344):MainThread        (4669627904) | common.process_targets:190 - 扫描目标详细信息: {'scheme': 'https', 'host': '18.200.141.238', 'port': 443, 'path': '', 'ports_open': [443, 80], 'has_http': True}
2021-01-06 15:39:46,714 [DEBUG] ForkPoolWorker-3(39344):MainThread        (4669627904) | common.process_targets:190 - 扫描目标详细信息: {'scheme': 'https', 'host': 'ac2f1f241e07ad04807307cc002b0066.web-security-academy.net', 'port': 443, 'path': '/', 'ports_open': [443], 'has_http': True}
2021-01-06 15:39:46,715 [INFOR] ForkPoolWorker-3(39344):MainThread        (4669627904) | common.prepare_targets:316 - 1/2 Port detection check over in 0.3 seconds!
2021-01-06 15:39:47,731 [INFOR] MainProcess(39340):MainThread        (4669627904) | SScan.main:218 - Targets process all done in 4.3 seconds!
2021-01-06 15:39:47,737 [INFOR] MainProcess(39340):MainThread        (4669627904) | SScan.main:226 - 2 scan process created.
2021-01-06 15:39:47,814 [INFOR] ForkPoolWorker-6(39352):MainThread        (4669627904) | scanner.init_final:103 - Scan https://ac2f1f241e07ad04807307cc002b0066.web-security-academy.net
2021-01-06 15:39:47,814 [INFOR] ForkPoolWorker-5(39351):MainThread        (4669627904) | scanner.init_final:103 - Scan https://18.200.141.238
2021-01-06 15:39:51,812 [DEBUG] ForkPoolWorker-6(39352):MainThread        (4669627904) | scanner.http_request:180 - --> /BBScan-404-existence-check  (404, {'Content-Type': 'application/json; charset=utf-8', 'Set-Cookie': 'session=URY25tpKBPNXaHRyV71Ul8V4Zj4Eolum; Path=/; Secure; HttpOnly; SameSite=None', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:39:57,612 [DEBUG] ForkPoolWorker-6(39352):MainThread        (4669627904) | scanner.http_request:180 - --> /  (200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '1524'})
